HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-09T00:30:00+02:00;RES1_BASE;Residentiel;0.6147;0.6147;0.587306436;100;100
2024-07-09T01:00:00+02:00;RES1_BASE;Residentiel;0.5767;0.5767;0.551258778;100;100
2024-07-09T04:00:00+02:00;RES1_BASE;Residentiel;0.5137;0.5137;0.470811227;100;100
2024-07-09T05:30:00+02:00;RES1_BASE;Residentiel;0.543;0.543;0.4848667;100;100
2024-07-09T08:00:00+02:00;RES1_BASE;Residentiel;0.9151;0.9151;0.731486759;100;100
2024-07-09T14:30:00+02:00;RES1_BASE;Residentiel;0.9159;0.9159;0.791072862;100;100
2024-07-09T15:00:00+02:00;RES1_BASE;Residentiel;0.8918;0.8918;0.780543612;100;100
2024-07-09T17:00:00+02:00;RES1_BASE;Residentiel;0.8693;0.8693;0.806189637;100;100
2024-07-10T08:00:00+02:00;RES1_BASE;Residentiel;0.9015;0.9015;0.719944942;100;100
2024-07-10T09:00:00+02:00;RES1_BASE;Residentiel;0.9337;0.9337;0.75868145;100;100
2024-07-10T11:30:00+02:00;RES1_BASE;Residentiel;1.0917;1.0917;0.902879896;100;100
2024-07-10T16:00:00+02:00;RES1_BASE;Residentiel;0.8711;0.8711;0.789941891;100;100
2024-07-10T21:00:00+02:00;RES1_BASE;Residentiel;1.1708;1.1708;1.031071451;100;100
2024-07-11T05:00:00+02:00;RES1_BASE;Residentiel;0.5338;0.5338;0.494424205;100;100
2024-07-11T09:00:00+02:00;RES1_BASE;Residentiel;0.8857;0.8857;0.782825836;100;100
2024-07-11T10:30:00+02:00;RES1_BASE;Residentiel;0.94;0.94;0.792268038;100;100
2024-07-11T13:30:00+02:00;RES1_BASE;Residentiel;1.0116;1.0116;0.874063437;100;100
2024-07-12T01:30:00+02:00;RES1_BASE;Residentiel;0.5634;0.5634;0.554985692;100;100
2024-07-12T06:00:00+02:00;RES1_BASE;Residentiel;0.5911;0.5911;0.540233327;100;100
2024-07-12T09:30:00+02:00;RES1_BASE;Residentiel;0.916;0.916;0.785466475;100;100
2024-07-13T00:30:00+02:00;RES1_BASE;Residentiel;0.6533;0.6533;0.618629148;100;100
2024-07-13T04:30:00+02:00;RES1_BASE;Residentiel;0.5102;0.5102;0.473134608;100;100
2024-07-13T06:30:00+02:00;RES1_BASE;Residentiel;0.5952;0.5952;0.524280952;100;100
2024-07-13T08:30:00+02:00;RES1_BASE;Residentiel;0.9041;0.9041;0.763432403;100;100
2024-07-13T09:00:00+02:00;RES1_BASE;Residentiel;0.9232;0.9232;0.80727025;100;100
2024-07-13T12:00:00+02:00;RES1_BASE;Residentiel;1.1991;1.1991;1.041279468;100;100
2024-07-13T14:30:00+02:00;RES1_BASE;Residentiel;1.003;1.003;0.871515128;100;100
2024-07-13T15:30:00+02:00;RES1_BASE;Residentiel;0.9423;0.9423;0.830477358;100;100
2024-07-13T17:00:00+02:00;RES1_BASE;Residentiel;0.9067;0.9067;0.82254177;100;100
2024-07-13T17:30:00+02:00;RES1_BASE;Residentiel;0.931;0.931;0.835589798;100;100
2024-07-14T11:00:00+02:00;RES1_BASE;Residentiel;1.1847;1.1847;1.007712917;100;100
2024-07-14T14:30:00+02:00;RES1_BASE;Residentiel;1.0042;1.0042;0.904529779;100;100
2024-07-14T16:00:00+02:00;RES1_BASE;Residentiel;0.933;0.933;0.850590851;100;100
2024-07-14T21:30:00+02:00;RES1_BASE;Residentiel;1.126;1.126;0.92719304;100;100
2024-07-15T01:30:00+02:00;RES1_BASE;Residentiel;0.571;0.571;0.541600398;100;100
2024-07-15T11:00:00+02:00;RES1_BASE;Residentiel;1.0413;1.0413;0.840531293;100;100
2024-07-15T13:30:00+02:00;RES1_BASE;Residentiel;1.0028;1.0028;0.879251507;100;100
2024-07-15T21:00:00+02:00;RES1_BASE;Residentiel;1.1823;1.1823;1.010525156;100;100
2024-07-15T21:30:00+02:00;RES1_BASE;Residentiel;1.1569;1.1569;0.955881675;100;100
2024-07-15T23:00:00+02:00;RES1_BASE;Residentiel;0.8802;0.8802;0.781301648;100;100
2024-07-16T02:30:00+02:00;RES1_BASE;Residentiel;0.535;0.535;0.49944985;100;100
2024-07-16T03:00:00+02:00;RES1_BASE;Residentiel;0.5324;0.5324;0.492992144;100;100
2024-07-16T12:00:00+02:00;RES1_BASE;Residentiel;1.1299;1.1299;0.933167495;100;100
2024-07-16T16:30:00+02:00;RES1_BASE;Residentiel;0.8559;0.8559;0.77835218;100;100
2024-07-16T17:30:00+02:00;RES1_BASE;Residentiel;0.9365;0.9365;0.825787452;100;100
2024-07-16T22:00:00+02:00;RES1_BASE;Residentiel;1.0987;1.0987;0.898248249;100;100
2024-07-16T23:00:00+02:00;RES1_BASE;Residentiel;0.8871;0.8871;0.765676653;100;100
2024-07-17T01:30:00+02:00;RES1_BASE;Residentiel;0.5639;0.5639;0.533426566;100;100
2024-07-17T07:00:00+02:00;RES1_BASE;Residentiel;0.7325;0.7325;0.619993927;100;100
2024-07-17T10:30:00+02:00;RES1_BASE;Residentiel;0.9792;0.9792;0.801720427;100;100
2024-07-17T12:30:00+02:00;RES1_BASE;Residentiel;1.1009;1.1009;0.933267014;100;100
2024-07-17T21:00:00+02:00;RES1_BASE;Residentiel;1.1721;1.1721;0.994972263;100;100
2024-07-18T02:30:00+02:00;RES1_BASE;Residentiel;0.5416;0.5416;0.497689829;100;100
2024-07-18T10:00:00+02:00;RES1_BASE;Residentiel;0.8955;0.8955;0.777713521;100;100
2024-07-18T16:30:00+02:00;RES1_BASE;Residentiel;0.8705;0.8705;0.795086817;100;100
2024-07-18T17:30:00+02:00;RES1_BASE;Residentiel;0.9248;0.9248;0.85669728;100;100
2024-07-18T18:30:00+02:00;RES1_BASE;Residentiel;1.0703;1.0703;0.981453771;100;100
2024-07-18T23:00:00+02:00;RES1_BASE;Residentiel;0.8748;0.8748;0.804679188;100;100
2024-07-19T11:00:00+02:00;RES1_BASE;Residentiel;1.0093;1.0093;0.85751803;100;100
2024-07-19T14:30:00+02:00;RES1_BASE;Residentiel;0.9498;0.9498;0.868248611;100;100
2024-07-19T18:00:00+02:00;RES1_BASE;Residentiel;0.9619;0.9619;0.931901145;100;100
2024-07-20T00:00:00+02:00;RES1_BASE;Residentiel;0.7251;0.7251;0.717709034;100;100
2024-07-20T03:00:00+02:00;RES1_BASE;Residentiel;0.5388;0.5388;0.543220024;100;100
2024-07-20T09:00:00+02:00;RES1_BASE;Residentiel;0.907;0.907;0.833461707;100;100
2024-07-20T18:30:00+02:00;RES1_BASE;Residentiel;1.0309;1.0309;0.985152722;100;100
2024-07-20T20:00:00+02:00;RES1_BASE;Residentiel;1.1045;1.1045;1.057026052;100;100
2024-07-20T23:00:00+02:00;RES1_BASE;Residentiel;0.8819;0.8819;0.844329882;100;100
2024-07-21T05:00:00+02:00;RES1_BASE;Residentiel;0.5075;0.5075;0.523000662;100;100
